SRR607214	SRR615261	SRR603068	SRR821282	SRR608096	SRR612839	SRR816609	SRR821518	SRR607679	SRR809283	SRR808044	SRR598671	SRR598509	SRR600784	SRR813208	SRR821573	SRR810945	SRR811819	SRR820689	SRR602106	SRR607166	SRR598044	SRR614287	SRR811029	SRR815280	SRR820839	SRR603834	SRR808836	SRR598124	SRR817306	SRR598148	SRR603750	SRR601695	SRR615790	SRR819771	SRR807949	SRR820234	SRR810899	SRR602951	SRR815494	SRR809785	SRR814003	SRR820316	SRR821525	SRR815044	SRR812080	SRR810761	SRR818850
SRR603750	0.7356	0.8340	0.6998	0.8745	0.8263	0.7169	0.8007	0.5811	0.8823	0.7618	0.8736	0.7298	0.8470	0.9260	0.8188	0.7998	0.7457	0.8465	0.7696	0.7695	0.9155	0.6961	0.8478	0.7838	0.8361	0.7196	0.8660	0.8895	0.7616	0.8099	0.8445	1.0000	0.7310	0.8961	0.8167	0.7933	0.9169	0.8954	0.9212	0.7018	0.8551	0.8647	0.7632	0.9137	0.7035	0.8786	0.7889	0.7065
SRR601695	0.6268	0.7478	0.6849	0.7459	0.8152	0.9053	0.6991	0.5737	0.7560	0.6493	0.7550	0.6868	0.7727	0.7161	0.6862	0.7022	0.6458	0.7678	0.6960	0.8304	0.7287	0.9483	0.7569	0.7143	0.7404	0.6696	0.7506	0.7801	0.7117	0.7246	0.8382	0.7310	1.0000	0.7806	0.7164	0.7040	0.8016	0.7709	0.7780	0.6018	0.7752	0.8060	0.8412	0.7343	0.9533	0.7774	0.7322	0.6701
SRR615790	0.6610	0.8777	0.7780	0.8919	0.8554	0.7616	0.8231	0.6221	0.8937	0.7053	0.8981	0.7932	0.8476	0.8698	0.8049	0.8257	0.6878	0.8833	0.7727	0.8001	0.8532	0.7531	0.9536	0.7993	0.8415	0.7603	0.8747	0.9199	0.8164	0.8248	0.8575	0.8961	0.7806	1.0000	0.8129	0.8140	0.9384	0.9281	0.9159	0.6398	0.9022	0.9125	0.8133	0.8608	0.7556	0.9713	0.8057	0.7524
SRR819771	0.6315	0.7314	0.6926	0.7858	0.7535	0.6800	0.8036	0.5965	0.8186	0.6582	0.7834	0.7060	0.7528	0.7536	0.9517	0.8018	0.6472	0.7514	0.7480	0.7232	0.7674	0.6854	0.7678	0.9293	0.8254	0.7113	0.8221	0.7985	0.7356	0.7913	0.7804	0.8167	0.7164	0.8129	1.0000	0.8184	0.8322	0.8266	0.8476	0.5995	0.7675	0.7850	0.7219	0.7855	0.6836	0.7947	0.9562	0.7113
SRR807949	0.6003	0.7430	0.7753	0.7855	0.7516	0.6831	0.9384	0.6488	0.8153	0.6227	0.7808	0.7878	0.7340	0.7366	0.8008	0.9626	0.6144	0.7534	0.7096	0.7254	0.7408	0.6842	0.7753	0.7704	0.8133	0.7515	0.8214	0.7980	0.8060	0.7617	0.7666	0.7933	0.7040	0.8140	0.8184	1.0000	0.8336	0.8366	0.8385	0.5818	0.7728	0.7883	0.7310	0.7588	0.6795	0.7914	0.7840	0.7555
SRR820234	0.6641	0.8863	0.7516	0.9253	0.8812	0.7946	0.8303	0.6206	0.9045	0.6955	0.9136	0.7693	0.8726	0.8749	0.8264	0.8341	0.6872	0.8918	0.7771	0.8288	0.8620	0.7796	0.8922	0.8036	0.8728	0.7616	0.8848	0.9357	0.8037	0.8288	0.8874	0.9169	0.8016	0.9384	0.8322	0.8336	1.0000	0.9320	0.9325	0.6348	0.9069	0.9252	0.8263	0.8570	0.7822	0.9210	0.8106	0.7490
SRR810899	0.6818	0.8722	0.7674	0.8904	0.8609	0.7547	0.8458	0.6849	0.8978	0.7270	0.8982	0.7891	0.8502	0.8769	0.8207	0.8502	0.7095	0.8809	0.7728	0.8053	0.8565	0.7489	0.8929	0.8113	0.8580	0.8307	0.8764	0.9155	0.8108	0.8200	0.8601	0.8954	0.7709	0.9281	0.8266	0.8366	0.9320	1.0000	0.9150	0.6627	0.8989	0.9060	0.8198	0.8671	0.7523	0.9196	0.8181	0.8255
SRR602951	0.6850	0.8457	0.7476	0.8863	0.8572	0.7539	0.8347	0.6216	0.9464	0.7199	0.8816	0.7695	0.8624	0.8701	0.8400	0.8367	0.7148	0.8618	0.7808	0.8055	0.8651	0.7521	0.8635	0.8160	0.8721	0.7553	0.9363	0.9018	0.8054	0.8308	0.8740	0.9212	0.7780	0.9159	0.8476	0.8385	0.9325	0.9150	1.0000	0.6617	0.8761	0.8888	0.8066	0.8749	0.7503	0.9019	0.8264	0.7471
SRR815494	0.8645	0.5883	0.5546	0.6154	0.6140	0.5477	0.5963	0.4699	0.6229	0.8871	0.6278	0.5898	0.6521	0.6938	0.5832	0.5908	0.9164	0.6374	0.6293	0.5764	0.6870	0.5765	0.6125	0.5821	0.6260	0.5485	0.6006	0.6467	0.5945	0.6278	0.6456	0.7018	0.6018	0.6398	0.5995	0.5818	0.6348	0.6627	0.6617	1.0000	0.6395	0.6529	0.6008	0.7589	0.5743	0.6480	0.6076	0.5585
SRR809785	0.6434	0.9487	0.7476	0.8944	0.8667	0.7707	0.7998	0.5958	0.8917	0.6950	0.9481	0.7687	0.8461	0.8720	0.7618	0.7962	0.6798	0.9658	0.7650	0.8113	0.8618	0.7620	0.8871	0.7847	0.8226	0.7380	0.8570	0.9623	0.7833	0.7896	0.8424	0.8551	0.7752	0.9022	0.7675	0.7728	0.9069	0.8989	0.8761	0.6395	1.0000	0.9432	0.8406	0.8566	0.7685	0.9190	0.7950	0.7324
SRR814003	0.6528	0.9122	0.7686	0.9246	0.8741	0.7829	0.8075	0.6156	0.8943	0.7072	0.9053	0.7887	0.8589	0.8771	0.7765	0.8079	0.6920	0.9228	0.7963	0.8321	0.8684	0.7902	0.8967	0.7989	0.8438	0.7541	0.8675	0.9233	0.8036	0.8216	0.8597	0.8647	0.8060	0.9125	0.7850	0.7883	0.9252	0.9060	0.8888	0.6529	0.9432	1.0000	0.8650	0.8695	0.7981	0.9283	0.8132	0.7518
SRR820316	0.5940	0.8088	0.7390	0.8076	0.9276	0.8531	0.7438	0.5865	0.8085	0.6441	0.8010	0.7534	0.8500	0.7730	0.7063	0.7427	0.6324	0.8239	0.7248	0.9440	0.7777	0.8585	0.8097	0.7507	0.7753	0.7032	0.7943	0.8176	0.7672	0.7444	0.9204	0.7632	0.8412	0.8133	0.7219	0.7310	0.8263	0.8198	0.8066	0.6008	0.8406	0.8650	1.0000	0.7858	0.8603	0.8244	0.7571	0.7102
SRR821525	0.7509	0.8138	0.7003	0.8360	0.8084	0.6999	0.7818	0.5898	0.8596	0.8111	0.8377	0.7315	0.8203	0.9048	0.7801	0.7783	0.7837	0.8292	0.7947	0.7483	0.9301	0.7046	0.8289	0.7848	0.8224	0.7179	0.8414	0.8477	0.7394	0.8215	0.8092	0.9137	0.7343	0.8608	0.7855	0.7588	0.8570	0.8671	0.8749	0.7589	0.8566	0.8695	0.7858	1.0000	0.7196	0.8752	0.8076	0.7233
SRR815044	0.5920	0.7476	0.6806	0.7426	0.8238	0.9305	0.6841	0.5531	0.7423	0.6165	0.7436	0.6872	0.7775	0.7057	0.6630	0.6858	0.6135	0.7551	0.6752	0.8418	0.7163	0.9565	0.7481	0.6992	0.7247	0.6528	0.7342	0.7578	0.7039	0.6955	0.8276	0.7035	0.9533	0.7556	0.6836	0.6795	0.7822	0.7523	0.7503	0.5743	0.7685	0.7981	0.8603	0.7196	1.0000	0.7652	0.7133	0.6539
SRR812080	0.6618	0.8916	0.7683	0.8993	0.8633	0.7683	0.8140	0.6178	0.8996	0.7084	0.9041	0.7887	0.8650	0.8795	0.7964	0.8171	0.6945	0.8964	0.7775	0.8091	0.8702	0.7609	0.9557	0.8062	0.8418	0.7580	0.8761	0.9103	0.8044	0.8116	0.8538	0.8786	0.7774	0.9713	0.7947	0.7914	0.9210	0.9196	0.9019	0.6480	0.9190	0.9283	0.8244	0.8752	0.7652	1.0000	0.8131	0.7511
SRR810761	0.6266	0.7531	0.7027	0.7852	0.7659	0.6966	0.7906	0.5943	0.8259	0.6679	0.7850	0.7140	0.7587	0.7655	0.9278	0.7863	0.6547	0.7757	0.7690	0.7406	0.7888	0.7122	0.7826	0.9575	0.8268	0.7112	0.8207	0.7915	0.7313	0.7925	0.7761	0.7889	0.7322	0.8057	0.9562	0.7840	0.8106	0.8181	0.8264	0.6076	0.7950	0.8132	0.7571	0.8076	0.7133	0.8131	1.0000	0.7151
SRR818850	0.5627	0.6964	0.6943	0.7254	0.7148	0.6507	0.7651	0.9272	0.7458	0.6060	0.7164	0.7024	0.6822	0.6810	0.7081	0.7646	0.5837	0.7197	0.6783	0.6949	0.6872	0.6649	0.7382	0.7044	0.7473	0.9654	0.7465	0.7302	0.7135	0.7084	0.7191	0.7065	0.6701	0.7524	0.7113	0.7555	0.7490	0.8255	0.7471	0.5585	0.7324	0.7518	0.7102	0.7233	0.6539	0.7511	0.7151	1.0000
